label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
fist,0.000000,0.000000,0.297965,-0.160597,0.464913,-0.458582,0.364450,-0.707824,0.128853,-0.826224,0.353186,-0.641030,0.536165,-0.844113,0.538352,-0.621825,0.462165,-0.533349,0.137290,-0.654567,0.333235,-0.864512,0.348036,-0.613938,0.256597,-0.540881,-0.067239,-0.629876,0.153429,-0.713177,0.185565,-0.468075,0.090273,-0.414269,-0.246199,-0.577810,0.045799,-0.569990,0.084749,-0.395358,-0.022321,-0.355715
fist,0.000000,0.000000,0.233185,-0.182646,0.307885,-0.444433,0.192290,-0.668591,0.026999,-0.787969,0.314735,-0.700887,0.290403,-0.956905,0.296464,-0.753023,0.308711,-0.635876,0.109244,-0.673350,0.060590,-0.883322,0.102887,-0.645200,0.122751,-0.562949,-0.083860,-0.603044,-0.110584,-0.771054,-0.035985,-0.545657,-0.014018,-0.468228,-0.273568,-0.506782,-0.247054,-0.619343,-0.171882,-0.482267,-0.151539,-0.426536
fist,0.000000,0.000000,0.182076,-0.035546,0.379233,-0.279690,0.450053,-0.573265,0.351633,-0.762545,0.375913,-0.654210,0.407559,-0.913179,0.355993,-0.685437,0.338628,-0.546724,0.224055,-0.685771,0.232527,-0.911299,0.200784,-0.587728,0.208463,-0.481820,0.076244,-0.672223,0.065829,-0.860508,0.066509,-0.541662,0.081887,-0.429237,-0.079321,-0.630561,-0.074774,-0.752666,-0.054192,-0.528023,-0.036445,-0.433284
fist,0.000000,0.000000,-0.437096,-0.137035,-0.737881,-0.173483,-0.747009,0.028156,-0.557721,0.285318,-0.101698,-0.369670,-0.130691,-0.093201,-0.237614,0.116197,-0.295787,0.263294,0.321694,-0.227437,0.268989,0.070410,0.140338,0.283373,0.073470,0.422373,0.589367,-0.064728,0.578304,0.204425,0.448038,0.379083,0.428594,0.457124,0.743348,0.081300,0.852804,0.269171,0.863271,0.355264,0.925527,0.378682
fist,0.000000,0.000000,0.324454,-0.055368,0.631147,-0.233589,0.641473,-0.466626,0.504506,-0.609375,0.653475,-0.487284,0.683267,-0.730168,0.546214,-0.596859,0.502464,-0.465677,0.434295,-0.526198,0.383394,-0.733723,0.309051,-0.528664,0.352425,-0.397182,0.238242,-0.533459,0.188309,-0.700355,0.155034,-0.497176,0.202172,-0.377751,0.047701,-0.519436,0.033153,-0.608341,0.020505,-0.462817,0.059225,-0.365408
fist,0.000000,0.000000,0.364473,-0.041794,0.642509,-0.182401,0.718584,-0.362227,0.696917,-0.498283,0.675097,-0.434744,0.786152,-0.618033,0.684404,-0.468651,0.604598,-0.365343,0.494567,-0.506062,0.599097,-0.683140,0.491016,-0.509764,0.427429,-0.418151,0.301836,-0.562463,0.401686,-0.709685,0.303810,-0.540657,0.248617,-0.456801,0.095524,-0.596193,0.201563,-0.721717,0.152300,-0.591014,0.108164,-0.513969
fist,0.000000,0.000000,0.284909,-0.078455,0.537470,-0.358771,0.551165,-0.645691,0.513321,-0.858197,0.355444,-0.621848,0.505777,-0.769605,0.503982,-0.600377,0.418619,-0.542681,0.149756,-0.632896,0.320418,-0.776826,0.300193,-0.476680,0.186963,-0.476635,-0.067636,-0.619889,0.105426,-0.720975,0.101552,-0.438478,-0.000400,-0.432497,-0.298397,-0.596508,-0.121070,-0.674861,-0.091439,-0.485676,-0.176180,-0.461783
fist,0.000000,0.000000,0.351380,-0.030067,0.702680,-0.264540,0.841655,-0.540016,0.668122,-0.677874,0.505304,-0.514751,0.535905,-0.699917,0.472932,-0.481776,0.456479,-0.399107,0.252941,-0.544314,0.282870,-0.709948,0.251863,-0.425738,0.236064,-0.366837,0.024143,-0.553106,0.041646,-0.728405,0.040406,-0.439643,0.027720,-0.340133,-0.220991,-0.561145,-0.207757,-0.689337,-0.172500,-0.485157,-0.153727,-0.392643
fist,0.000000,0.000000,0.320468,-0.125231,0.577813,-0.379381,0.653290,-0.606809,0.604273,-0.796777,0.340591,-0.639285,0.493968,-0.667033,0.471637,-0.463136,0.412577,-0.300747,0.119917,-0.645484,0.284026,-0.631348,0.270844,-0.376641,0.232113,-0.195902,-0.103624,-0.610763,0.061987,-0.596380,0.089685,-0.340780,0.079473,-0.159338,-0.335380,-0.548163,-0.164588,-0.567897,-0.091496,-0.389058,-0.074638,-0.257497
fist,0.000000,0.000000,0.418295,-0.060669,0.721361,-0.241199,0.831062,-0.434819,0.819071,-0.573692,0.513397,-0.377290,0.561480,-0.516584,0.500502,-0.379440,0.449212,-0.307675,0.261727,-0.382119,0.326602,-0.513565,0.299839,-0.331000,0.254405,-0.269624,0.028651,-0.368927,0.088406,-0.498185,0.100375,-0.313640,0.061010,-0.231001,-0.221565,-0.346682,-0.159952,-0.447369,-0.108169,-0.314058,-0.118760,-0.237149
