label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
open_palm,0.000000,0.000000,-0.313992,0.131109,-0.447797,0.401860,-0.407321,0.638127,-0.296415,0.806188,-0.564798,0.547763,-0.429531,0.903052,-0.303241,0.879562,-0.275129,0.786051,-0.365584,0.587328,-0.224520,0.963541,-0.116421,0.908797,-0.110142,0.800403,-0.124337,0.601306,0.003314,0.942403,0.067928,0.863742,0.049382,0.758263,0.123386,0.579235,0.188968,0.849898,0.225522,0.774205,0.209503,0.678938
open_palm,0.000000,0.000000,0.246343,-0.102443,0.425648,-0.255865,0.582831,-0.371347,0.718707,-0.413637,0.175168,-0.523767,0.226600,-0.722086,0.244844,-0.846605,0.251784,-0.954599,0.009300,-0.535511,0.023270,-0.750235,0.023932,-0.888933,0.019118,-0.999817,-0.148189,-0.496809,-0.188729,-0.694071,-0.211138,-0.816473,-0.223668,-0.917342,-0.291033,-0.414706,-0.389721,-0.536852,-0.453041,-0.618453,-0.495436,-0.699675
open_palm,0.000000,0.000000,0.200911,-0.125349,0.351239,-0.291076,0.474024,-0.415113,0.595397,-0.492319,0.109371,-0.518034,0.228448,-0.708832,0.304338,-0.829673,0.373891,-0.927473,-0.040424,-0.531824,-0.023224,-0.742504,-0.015230,-0.882089,-0.006106,-0.993738,-0.172617,-0.493112,-0.218139,-0.695347,-0.238297,-0.826088,-0.245649,-0.937071,-0.283109,-0.403324,-0.449988,-0.488363,-0.562317,-0.552623,-0.653435,-0.618268
open_palm,0.000000,0.000000,0.236585,-0.084230,0.421252,-0.213119,0.576769,-0.311074,0.721083,-0.348292,0.200619,-0.507055,0.311035,-0.694825,0.367325,-0.811500,0.403861,-0.914820,0.025329,-0.532607,0.047441,-0.750850,0.065707,-0.883387,0.075249,-0.995380,-0.136454,-0.501546,-0.201629,-0.694986,-0.232696,-0.821564,-0.255920,-0.931566,-0.278222,-0.422139,-0.426780,-0.533456,-0.534010,-0.603418,-0.622287,-0.676401
open_palm,0.000000,0.000000,0.070341,-0.211283,-0.008446,-0.378898,-0.175589,-0.479990,-0.326047,-0.512008,-0.120780,-0.381614,-0.319333,-0.584454,-0.455208,-0.693262,-0.553323,-0.767378,-0.267817,-0.287671,-0.555266,-0.480547,-0.703354,-0.577532,-0.774668,-0.632368,-0.386147,-0.199936,-0.664029,-0.356825,-0.761535,-0.455344,-0.780557,-0.520391,-0.465373,-0.120632,-0.696330,-0.232366,-0.780703,-0.308689,-0.806677,-0.371124
open_palm,0.000000,0.000000,0.274605,-0.065436,0.494542,-0.173276,0.630946,-0.306551,0.763438,-0.399610,0.283666,-0.467669,0.399127,-0.641731,0.465223,-0.757021,0.514961,-0.857214,0.125836,-0.503782,0.158872,-0.717711,0.185579,-0.849625,0.206147,-0.963166,-0.021152,-0.492043,-0.057028,-0.691606,-0.062196,-0.815734,-0.059551,-0.922978,-0.164190,-0.439298,-0.250399,-0.593627,-0.290420,-0.692863,-0.316398,-0.789222
open_palm,0.000000,0.000000,0.085730,-0.093651,0.152637,-0.237473,0.202936,-0.363289,0.249546,-0.457451,0.092370,-0.499152,0.119597,-0.705262,0.134298,-0.831176,0.144320,-0.936429,0.025017,-0.519674,0.020225,-0.751349,0.016989,-0.889469,0.013908,-0.999903,-0.035734,-0.492215,-0.049346,-0.704477,-0.058683,-0.839401,-0.063842,-0.948568,-0.093762,-0.424054,-0.125614,-0.576250,-0.145689,-0.677955,-0.160839,-0.768880
open_palm,0.000000,0.000000,0.249227,-0.063637,0.445691,-0.181551,0.609564,-0.261059,0.760991,-0.279936,0.201971,-0.486823,0.283481,-0.689869,0.326078,-0.820493,0.360266,-0.932849,0.037212,-0.507770,0.061323,-0.730294,0.082604,-0.870214,0.101292,-0.979533,-0.113398,-0.473189,-0.161256,-0.659103,-0.183086,-0.776085,-0.192315,-0.872633,-0.249173,-0.390004,-0.348828,-0.502148,-0.412653,-0.576180,-0.459901,-0.648397
open_palm,0.000000,0.000000,0.216817,-0.042807,0.408629,-0.133045,0.589750,-0.199965,0.769872,-0.232572,0.213331,-0.441727,0.294068,-0.630600,0.329502,-0.767813,0.346431,-0.888018,0.043152,-0.474410,0.052044,-0.701831,0.043535,-0.859247,0.020432,-0.999791,-0.119435,-0.445429,-0.167029,-0.660642,-0.203187,-0.810888,-0.239192,-0.937623,-0.266140,-0.372874,-0.422110,-0.504361,-0.540079,-0.588487,-0.640734,-0.675141
open_palm,0.000000,0.000000,0.241203,-0.064970,0.454682,-0.172216,0.652339,-0.239908,0.829473,-0.262083,0.219595,-0.457434,0.287820,-0.673377,0.311505,-0.813027,0.326347,-0.927303,0.036557,-0.475462,0.018690,-0.714076,-0.000099,-0.873696,-0.019722,-0.999806,-0.119567,-0.441672,-0.180549,-0.657490,-0.228253,-0.795611,-0.263771,-0.907252,-0.242711,-0.369620,-0.346568,-0.503915,-0.422067,-0.593749,-0.480844,-0.673507
fist,0.000000,0.000000,0.297965,-0.160597,0.464913,-0.458582,0.364450,-0.707824,0.128853,-0.826224,0.353186,-0.641030,0.536165,-0.844113,0.538352,-0.621825,0.462165,-0.533349,0.137290,-0.654567,0.333235,-0.864512,0.348036,-0.613938,0.256597,-0.540881,-0.067239,-0.629876,0.153429,-0.713177,0.185565,-0.468075,0.090273,-0.414269,-0.246199,-0.577810,0.045799,-0.569990,0.084749,-0.395358,-0.022321,-0.355715
fist,0.000000,0.000000,0.233185,-0.182646,0.307885,-0.444433,0.192290,-0.668591,0.026999,-0.787969,0.314735,-0.700887,0.290403,-0.956905,0.296464,-0.753023,0.308711,-0.635876,0.109244,-0.673350,0.060590,-0.883322,0.102887,-0.645200,0.122751,-0.562949,-0.083860,-0.603044,-0.110584,-0.771054,-0.035985,-0.545657,-0.014018,-0.468228,-0.273568,-0.506782,-0.247054,-0.619343,-0.171882,-0.482267,-0.151539,-0.426536
fist,0.000000,0.000000,0.182076,-0.035546,0.379233,-0.279690,0.450053,-0.573265,0.351633,-0.762545,0.375913,-0.654210,0.407559,-0.913179,0.355993,-0.685437,0.338628,-0.546724,0.224055,-0.685771,0.232527,-0.911299,0.200784,-0.587728,0.208463,-0.481820,0.076244,-0.672223,0.065829,-0.860508,0.066509,-0.541662,0.081887,-0.429237,-0.079321,-0.630561,-0.074774,-0.752666,-0.054192,-0.528023,-0.036445,-0.433284
fist,0.000000,0.000000,-0.437096,-0.137035,-0.737881,-0.173483,-0.747009,0.028156,-0.557721,0.285318,-0.101698,-0.369670,-0.130691,-0.093201,-0.237614,0.116197,-0.295787,0.263294,0.321694,-0.227437,0.268989,0.070410,0.140338,0.283373,0.073470,0.422373,0.589367,-0.064728,0.578304,0.204425,0.448038,0.379083,0.428594,0.457124,0.743348,0.081300,0.852804,0.269171,0.863271,0.355264,0.925527,0.378682
fist,0.000000,0.000000,0.324454,-0.055368,0.631147,-0.233589,0.641473,-0.466626,0.504506,-0.609375,0.653475,-0.487284,0.683267,-0.730168,0.546214,-0.596859,0.502464,-0.465677,0.434295,-0.526198,0.383394,-0.733723,0.309051,-0.528664,0.352425,-0.397182,0.238242,-0.533459,0.188309,-0.700355,0.155034,-0.497176,0.202172,-0.377751,0.047701,-0.519436,0.033153,-0.608341,0.020505,-0.462817,0.059225,-0.365408
fist,0.000000,0.000000,0.364473,-0.041794,0.642509,-0.182401,0.718584,-0.362227,0.696917,-0.498283,0.675097,-0.434744,0.786152,-0.618033,0.684404,-0.468651,0.604598,-0.365343,0.494567,-0.506062,0.599097,-0.683140,0.491016,-0.509764,0.427429,-0.418151,0.301836,-0.562463,0.401686,-0.709685,0.303810,-0.540657,0.248617,-0.456801,0.095524,-0.596193,0.201563,-0.721717,0.152300,-0.591014,0.108164,-0.513969
fist,0.000000,0.000000,0.284909,-0.078455,0.537470,-0.358771,0.551165,-0.645691,0.513321,-0.858197,0.355444,-0.621848,0.505777,-0.769605,0.503982,-0.600377,0.418619,-0.542681,0.149756,-0.632896,0.320418,-0.776826,0.300193,-0.476680,0.186963,-0.476635,-0.067636,-0.619889,0.105426,-0.720975,0.101552,-0.438478,-0.000400,-0.432497,-0.298397,-0.596508,-0.121070,-0.674861,-0.091439,-0.485676,-0.176180,-0.461783
fist,0.000000,0.000000,0.351380,-0.030067,0.702680,-0.264540,0.841655,-0.540016,0.668122,-0.677874,0.505304,-0.514751,0.535905,-0.699917,0.472932,-0.481776,0.456479,-0.399107,0.252941,-0.544314,0.282870,-0.709948,0.251863,-0.425738,0.236064,-0.366837,0.024143,-0.553106,0.041646,-0.728405,0.040406,-0.439643,0.027720,-0.340133,-0.220991,-0.561145,-0.207757,-0.689337,-0.172500,-0.485157,-0.153727,-0.392643
fist,0.000000,0.000000,0.320468,-0.125231,0.577813,-0.379381,0.653290,-0.606809,0.604273,-0.796777,0.340591,-0.639285,0.493968,-0.667033,0.471637,-0.463136,0.412577,-0.300747,0.119917,-0.645484,0.284026,-0.631348,0.270844,-0.376641,0.232113,-0.195902,-0.103624,-0.610763,0.061987,-0.596380,0.089685,-0.340780,0.079473,-0.159338,-0.335380,-0.548163,-0.164588,-0.567897,-0.091496,-0.389058,-0.074638,-0.257497
fist,0.000000,0.000000,0.418295,-0.060669,0.721361,-0.241199,0.831062,-0.434819,0.819071,-0.573692,0.513397,-0.377290,0.561480,-0.516584,0.500502,-0.379440,0.449212,-0.307675,0.261727,-0.382119,0.326602,-0.513565,0.299839,-0.331000,0.254405,-0.269624,0.028651,-0.368927,0.088406,-0.498185,0.100375,-0.313640,0.061010,-0.231001,-0.221565,-0.346682,-0.159952,-0.447369,-0.108169,-0.314058,-0.118760,-0.237149
thumbs_up,0.000000,0.000000,0.168331,-0.265992,0.369934,-0.466941,0.525354,-0.652904,0.557284,-0.830322,0.791877,-0.270395,0.914863,-0.192261,0.812083,-0.170420,0.706509,-0.189291,0.825137,-0.091370,0.863457,-0.033984,0.747306,-0.028163,0.644574,-0.044597,0.779719,0.080951,0.835598,0.105676,0.725178,0.105070,0.606211,0.081902,0.698517,0.231317,0.801320,0.247522,0.700398,0.232501,0.586283,0.204473
thumbs_up,0.000000,0.000000,0.168827,-0.224065,0.391241,-0.408094,0.538128,-0.573726,0.582684,-0.711942,0.754139,-0.298080,0.982695,-0.185229,0.872061,-0.148493,0.742430,-0.165866,0.767740,-0.158703,0.972767,-0.053252,0.857740,-0.028651,0.732397,-0.058574,0.738077,-0.016121,0.917912,0.063892,0.806632,0.080652,0.690369,0.053074,0.685536,0.115488,0.813142,0.166420,0.700712,0.173825,0.597424,0.149530
thumbs_up,0.000000,0.000000,0.102873,-0.263788,0.266859,-0.489660,0.387142,-0.686705,0.429662,-0.863215,0.773025,-0.260922,0.990566,-0.137034,0.879355,-0.109181,0.743247,-0.137452,0.780617,-0.076128,0.967705,0.016939,0.842703,0.024675,0.704898,0.006936,0.716982,0.103671,0.897891,0.159591,0.789389,0.165042,0.654364,0.153177,0.613564,0.265480,0.764533,0.310564,0.670022,0.289721,0.568435,0.259927
