label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
peace,0.000000,0.000000,0.245779,-0.138149,0.277691,-0.330934,0.086576,-0.456131,-0.112272,-0.509860,0.219675,-0.508851,0.257287,-0.711269,0.267892,-0.833197,0.258402,-0.936177,0.032822,-0.521314,0.057119,-0.751506,0.085067,-0.891072,0.088623,-0.996065,-0.142557,-0.487690,-0.168031,-0.682036,-0.090149,-0.627317,-0.052195,-0.543976,-0.307130,-0.427852,-0.323149,-0.577102,-0.237167,-0.557000,-0.179453,-0.495368
peace,0.000000,0.000000,-0.223864,0.042220,-0.380841,0.171988,-0.421773,0.314784,-0.424984,0.418235,-0.411425,0.214782,-0.557642,0.416542,-0.631396,0.549692,-0.687112,0.655233,-0.290226,0.249546,-0.462623,0.469648,-0.578149,0.621644,-0.673231,0.739433,-0.133272,0.273424,-0.289109,0.477347,-0.402275,0.612733,-0.497795,0.717913,0.039363,0.286265,-0.034699,0.450166,-0.096425,0.553197,-0.153045,0.642120
peace,0.000000,0.000000,0.205937,-0.097641,0.266006,-0.276429,0.115799,-0.426751,-0.038154,-0.496045,0.278851,-0.458722,0.309615,-0.664521,0.313280,-0.800704,0.306347,-0.910948,0.113419,-0.479199,0.144822,-0.714793,0.171225,-0.857296,0.178176,-0.983999,-0.055438,-0.446026,-0.076860,-0.604038,-0.012688,-0.463703,0.026898,-0.352834,-0.211959,-0.372011,-0.207293,-0.489280,-0.129135,-0.401427,-0.069727,-0.317344
peace,0.000000,0.000000,0.099277,-0.130535,0.043978,-0.312831,-0.170611,-0.420453,-0.317925,-0.509752,0.084188,-0.529861,0.061476,-0.740076,0.044513,-0.875034,0.031956,-0.984707,-0.058780,-0.517143,-0.071864,-0.747746,-0.069933,-0.887406,-0.077985,-0.996954,-0.174655,-0.453939,-0.258456,-0.558012,-0.204633,-0.428181,-0.157999,-0.346380,-0.266044,-0.366208,-0.339925,-0.459904,-0.280712,-0.379592,-0.217578,-0.313236
peace,0.000000,0.000000,0.152906,-0.121629,0.167234,-0.307658,0.031448,-0.450256,-0.099254,-0.558911,0.165583,-0.488627,0.162056,-0.708575,0.152631,-0.842720,0.136933,-0.955496,0.023306,-0.486080,0.012604,-0.720634,0.012327,-0.876012,0.006887,-0.999976,-0.106993,-0.428722,-0.128139,-0.556492,-0.075301,-0.456841,-0.047248,-0.367896,-0.219996,-0.340892,-0.243310,-0.427366,-0.210785,-0.384097,-0.205315,-0.337945
peace,0.000000,0.000000,0.202440,-0.132354,0.266612,-0.331036,0.116303,-0.475236,-0.067249,-0.546880,0.233640,-0.528805,0.259852,-0.737950,0.246355,-0.863667,0.231261,-0.972580,0.064514,-0.523789,0.086694,-0.750961,0.094784,-0.885436,0.097179,-0.995267,-0.098705,-0.469360,-0.137836,-0.593035,-0.062278,-0.453181,-0.010899,-0.346794,-0.252673,-0.387350,-0.257167,-0.503196,-0.180996,-0.400095,-0.128771,-0.302918
peace,0.000000,0.000000,0.165937,-0.022658,0.230185,-0.123559,0.064859,-0.222996,-0.112099,-0.301315,0.261742,-0.393065,0.301186,-0.638480,0.315987,-0.778930,0.313382,-0.919719,0.078446,-0.433719,0.132090,-0.697390,0.161312,-0.834996,0.172721,-0.984971,-0.088919,-0.397047,-0.166832,-0.445614,-0.108543,-0.252885,-0.056245,-0.150771,-0.242240,-0.314641,-0.297789,-0.323274,-0.229647,-0.198584,-0.160252,-0.127806
peace,0.000000,0.000000,0.161526,-0.090094,0.206143,-0.254033,0.072194,-0.385287,-0.084534,-0.485844,0.278863,-0.489562,0.318954,-0.701439,0.316070,-0.831387,0.303602,-0.943847,0.142675,-0.512416,0.191487,-0.725585,0.190854,-0.866897,0.186537,-0.982448,0.002863,-0.491952,-0.002919,-0.617275,-0.010933,-0.515757,-0.015713,-0.428101,-0.127316,-0.456960,-0.155365,-0.590170,-0.147951,-0.555975,-0.135141,-0.501968
peace,0.000000,0.000000,-0.280802,0.113484,-0.383181,0.334315,-0.375501,0.558472,-0.339256,0.714487,-0.033266,0.466806,-0.113705,0.752430,-0.228353,0.866846,-0.317573,0.948234,0.110511,0.470632,0.004014,0.752290,-0.151159,0.864558,-0.276689,0.927317,0.157259,0.458968,0.038489,0.716555,-0.107807,0.799318,-0.217378,0.832287,0.147582,0.453611,0.045140,0.660097,-0.074744,0.728954,-0.166114,0.752930
peace,0.000000,0.000000,0.159213,-0.125455,0.185200,-0.311005,0.047703,-0.442659,-0.112810,-0.498579,0.073087,-0.506132,0.039212,-0.694120,0.008034,-0.805494,-0.026455,-0.907868,-0.053818,-0.512497,-0.114133,-0.729363,-0.130142,-0.872226,-0.154525,-0.987989,-0.165333,-0.472315,-0.223926,-0.663931,-0.153814,-0.601979,-0.118190,-0.510382,-0.271109,-0.402313,-0.315066,-0.553111,-0.242576,-0.528654,-0.194100,-0.457134
peace,0.000000,0.000000,0.211813,-0.005258,0.378578,-0.144301,0.352963,-0.313641,0.220716,-0.424626,0.380951,-0.348213,0.476540,-0.551894,0.527101,-0.697089,0.551024,-0.819464,0.227118,-0.386500,0.322625,-0.615194,0.382081,-0.765343,0.420234,-0.907416,0.059310,-0.381879,0.132266,-0.498295,0.131375,-0.328804,0.107236,-0.214099,-0.114946,-0.347861,-0.019650,-0.416301,-0.001269,-0.293636,-0.003992,-0.208506
